N,P,K,Temp,Humidity,pH,Rainfall,Soil_temp,Soil_moisture,Crop
91.1,32.3,200.3,28,80,6.94,2161.7,27.5,61.4,Coconut
95.8,27.2,246.9,28.3,76.3,6.07,1887.3,29.1,47.1,Coconut
104.5,63.9,181.9,32,73.7,7.05,1979.5,32,33.2,Coconut
126.4,66.6,230.5,32,77.9,6.81,2400,26.1,63.6,Coconut
116,40.1,173,27,78.5,6.92,1619.1,30.4,35.5,Coconut
87.8,31.4,182.6,32,75.6,6.35,2070.7,28.7,40.1,Coconut
200,68.1,201.9,27.5,72.8,7.28,1906.7,29.9,59.2,Coconut
112.9,64.9,221.3,32,79.9,6.5,1736.2,27,42.6,Coconut
108.8,34.6,206,32,80,7.5,1596.4,27,58,Coconut
82.1,35.1,155.4,30.6,80,6.69,1504.1,27,30,Coconut
106.7,37.6,223.1,28.5,80,7.03,1566.5,28.8,45.3,Coconut
111.7,64.8,100,32,75.2,6.17,2400,31.6,57.8,Coconut
109.6,40.2,203.3,32,74.1,6.72,1500,27.6,40.2,Coconut
115.3,37.9,123.1,31.4,76.5,6.11,2175.3,25.3,47.8,Coconut
64,47.8,141.7,32,76,7.14,1898.8,22,36.3,Coconut
77.5,38.5,210.3,27,70,7.05,1897,27.1,54.6,Coconut
82.5,29.2,117.7,32,70,6.65,2225.4,24.7,68.9,Coconut
66.4,58.8,176.6,28.8,73.3,7.19,1764.1,28.4,30,Coconut
87.5,37.4,208.7,32,74.1,7.13,1786.4,27.3,58.2,Coconut
112.1,51.2,126.2,32,80,5.5,1547.2,28.1,35.8,Coconut
118.9,37.1,170.9,32,76.5,6.46,2179.9,22.2,46.7,Coconut
165.1,45.4,215.7,29.7,75.8,7.5,2400,25.6,59,Coconut
88.1,29.9,100,27,73.1,6.64,2032.2,32,64.7,Coconut
102.4,41.6,126.2,28.8,70,6.85,2352,26.6,30,Coconut
110.6,62.3,236.3,30,73.4,7.5,1500,22,46,Coconut
79.7,63.8,174,29.5,71.5,6.38,1857.3,26.6,55.4,Coconut
120.3,66.7,296.3,27,70,5.5,1500,32,66.2,Coconut
106.8,65.7,222,30,70.9,6.68,1773.4,25.9,48.3,Coconut
104,32.8,265.3,27,73.9,5.89,1777.8,24.6,30.7,Coconut
82.5,51.3,141.9,32,70,7.07,1500,29,50.8,Coconut
116.7,63.3,100,27,72.5,6.13,1904.2,28.2,49.7,Coconut
92.2,26,164.5,29.3,79.4,6.68,1661.6,24.4,52.2,Coconut
86,50.9,276.6,28.7,70,6.53,2372.9,24.8,63.6,Coconut
106.4,45.9,200.3,30.1,70.2,6.95,1639.3,32,45.7,Coconut
79.4,64.9,234.7,27,74.9,6.51,1951.5,32,40.1,Coconut
133.1,48.4,128.9,32,73.4,5.9,1731.1,23.1,39.9,Coconut
75.2,56.1,100,31.2,76.6,6.34,1979.5,32,30,Coconut
87.6,25.7,197.5,32,76.5,6.03,1897.9,31.1,37.3,Coconut
95.5,26.6,186.9,32,73.2,6.49,1500,29.8,57.4,Coconut
92.5,35.5,268.7,27,73.3,6.79,1770,26.7,47,Coconut
120.8,69.6,166.4,30,76.7,7.24,2175.6,24.5,59.5,Coconut
66.4,45,155,29.9,74.6,6.64,1850.5,26.6,30,Coconut
74.9,43.1,236.8,28.8,76.7,6.38,1778.1,27.1,53.7,Coconut
95.5,41.9,230.4,29.6,76.4,6.34,1969.3,27.6,44.7,Coconut
117.9,53.8,241.9,27,75.4,6.61,1755.1,23.9,43.5,Coconut
86.5,75.4,205.2,29.5,75.1,6.42,2082.2,23.9,48.4,Coconut
94.5,45.7,147.6,27,79.9,6.62,2011,31.4,39.3,Coconut
80.5,44.9,219.6,30.5,75.3,6.55,1500,27.3,48.2,Coconut
84.7,20,155.1,31.9,70,7.5,1765.9,28.2,42.6,Coconut
102.6,38.2,175.5,31.9,74.4,6.26,1500,23.3,61.1,Coconut
95.9,52.7,265.4,31.1,75.7,6.29,2012.3,26.1,54.5,Coconut
80.1,25.6,226.2,27,75,5.5,1810.5,26.7,56,Coconut
103,20.9,216.4,32,70,6.69,1841,28.1,57.2,Coconut
124.2,58.7,177.8,28,74.5,6.82,2400,27.8,41.3,Coconut
121.3,49.7,207,32,74.5,6.69,2027.7,31.7,46.5,Coconut
90,58.5,216.7,28.8,70,6.31,1500,28.7,55.3,Coconut
77.8,35.2,240.3,32,80,6.4,2393.6,22,31.9,Coconut
70.6,68.8,214,30.7,70.1,6.91,1807.7,26.9,43.4,Coconut
86.9,40.4,208.9,29.4,76,5.65,2019.1,31.4,53.9,Coconut
64.4,35.4,327.2,32,73.6,6.85,1991.1,27.9,46.9,Coconut
76,80.1,254,32,70,7.5,2141.9,32,55.4,Coconut
100.4,44.8,228,27,73.5,5.55,2020.4,23.3,39.4,Coconut
131.3,58.4,196.6,32,73.3,7.26,2199.3,24.5,59.9,Coconut
99.8,45.1,191.5,30.3,71.2,6.1,1745.3,22.9,34.5,Coconut
89.3,54.2,209.9,32,75.9,5.7,1863.9,31.4,66.3,Coconut
92.3,73.8,237.4,32,70,5.97,2076.8,29.5,65.1,Coconut
80.5,43.4,131.3,28.3,70,6.24,1964.9,29.1,34.9,Coconut
70.5,63.9,216.4,29.3,73.3,5.9,2400,27.3,42.3,Coconut
105.1,56.3,213.1,32,71.8,6.37,2245.4,30.6,32,Coconut
103.2,54.7,213.3,27.8,70,6.57,1887.6,31.6,30,Coconut
80.8,34,273.6,32,75,6.6,1857.9,22,45.9,Coconut
74.8,68,198.1,29,72.2,5.77,1704.7,32,53.6,Coconut
100,34,170.7,31.4,72.2,6.97,1500,26.5,38.1,Coconut
118.7,60.8,259,32,73.5,6,1500,25.4,54.3,Coconut
104.6,60.2,165.2,27,73.8,6.4,1500,26.3,51.3,Coconut
50,67.1,278.2,31.1,75.6,6.96,1784.6,28.9,64.3,Coconut
89.7,31.9,228.3,31.6,70,6.43,1870.3,32,43.1,Coconut
113.2,45,123.5,27,80,5.97,1652.8,28.3,49.1,Coconut
91.8,36,116.2,32,79.4,6.37,2400,29.7,50.7,Coconut
154.3,58.6,223.3,29.2,80,6.51,1923.9,24.8,57.2,Coconut
135,77.6,193.5,29.2,70.2,5.95,1785.4,22,51.2,Coconut
116.1,34.5,275.8,32,70,6.15,1617.1,26.4,57.2,Coconut
63.6,30.6,219.3,29.5,70.2,6.23,2121.7,29.1,45.4,Coconut
97.1,35.1,208.4,32,70,6.68,1626.6,25.5,46.1,Coconut
81.7,43.7,110,28.4,73.4,6.97,1853.6,32,53.7,Coconut
82.2,85.3,162.6,31.1,77,5.66,2103.7,26.5,46.4,Coconut
143.5,51.8,107.1,27,70,5.73,2042.3,25.5,58.9,Coconut
90.1,34.4,187,31.6,80,6.89,1758.5,25,60.5,Coconut
101.5,60.4,206.2,27,70,5.81,1545,22.7,50.2,Coconut
137.6,62.7,227.1,27,70.7,7.5,1567.2,29.6,39.9,Coconut
99.2,64.1,146.4,27,72.6,6.5,1877.7,28.3,30,Coconut
117.9,45.9,247.8,30.6,72.4,6.19,2400,26.2,44.9,Coconut
93.2,60.3,181.3,27,79.5,6.65,1500,26.5,44.9,Coconut
102.5,23.1,143.7,27.3,80,5.94,1796.4,31,48.1,Coconut
102.2,37,107.9,32,79.9,6.16,1548.9,31.6,49,Coconut
65.1,34.5,126.1,29.8,74.7,7.03,1503.3,22.9,58.9,Coconut
89.8,66.8,261.3,27.8,72.8,6.47,2400,27.6,56.3,Coconut
117.9,77.2,147.6,32,80,5.65,1500,25.1,42.6,Coconut
84.7,53.4,244.1,27,80,6.99,1996.7,25.7,51.3,Coconut
109.2,46,169.2,30.2,70.4,7.38,1657,30.9,47.5,Coconut
103.5,31.3,183.3,32,74.1,6.46,2045.9,23.4,56.8,Coconut
106.5,49.9,198,27.3,76,7.37,1886.8,27,52.5,Coconut
114.8,25.3,242.4,32,77.8,7.23,1500,26.6,58.8,Coconut
132.8,39.9,171.4,31,80,7.34,1975.2,28.3,33.5,Coconut
104.3,75.3,159,31,70.3,6.46,1835.9,31.4,70.8,Coconut
103.3,54.8,151,32,70.3,6.76,2175.8,32,61.5,Coconut
94.8,20,233.2,29.2,74.8,6.84,2059.4,29.5,45.5,Coconut
131.7,29.6,180.3,32,74.6,6.36,1607,30.1,44.1,Coconut
107.7,54.9,235.6,32,75.8,7.15,1691.8,31.5,76.1,Coconut
82,33.7,226.2,32,80,6.01,1770.3,28.8,55.8,Coconut
102.8,51,209.4,31,80,6.14,2226,24,64.7,Coconut
121.3,84.2,155.8,27.9,72.5,6.96,1965.9,28.7,38.7,Coconut
132.7,54.4,178,31.5,77.7,7.5,2165.4,27.3,60.2,Coconut
200,39.4,137.4,27,75.1,6.83,1913.5,31.9,59,Coconut
130.1,71.8,182.8,27,74.9,6.36,1500,28.7,35.1,Coconut
55.2,68.6,239.4,29.9,72.7,7.5,1868.4,30,80,Coconut
107.1,44,203.5,27.9,70,7.5,2047.6,32,54.4,Coconut
63.6,41.4,147.2,30.4,70,6.31,1637,32,52.5,Coconut
110,47.4,194.5,28.7,77.3,6.44,1770.9,27.6,52.6,Coconut
70.8,20,193.6,31.2,75.9,6.09,1500,29.6,50.6,Coconut
111.5,50.1,167.2,28.7,79.4,6.75,1500,27.6,44.3,Coconut
65.2,55.9,275,28.4,76.5,7.5,1744.3,23.3,43.3,Coconut
108.3,30,191,32,80,6.47,2229.3,25.5,46.4,Coconut
118.1,45.9,231.3,31.2,79.4,5.65,1793.7,32,59.7,Coconut
94.7,40.9,143.1,30.4,73.3,6.22,2330.2,29.9,45.9,Coconut
110.2,43,141.2,27,80,7.33,1738.2,32,33.2,Coconut
114.6,44.2,161.5,32,76.8,6.75,1729.4,32,48.5,Coconut
104.6,63.4,263.9,27,73,6.49,2000.1,29.5,52.4,Coconut
105.8,33.4,234.9,32,72.3,6.55,1793.5,28,71.6,Coconut
114.9,20,187.7,31.3,70,6.13,2400,30.1,48.4,Coconut
98.6,79.9,171.5,27,75.6,6.22,2004.9,27.1,38.9,Coconut
79.9,65.2,202.3,27,73.7,6.15,1574.1,27,45.7,Coconut
103.9,40.6,266.6,27.2,73.9,6.98,1936.6,31.2,37.4,Coconut
117.3,54.4,267.3,27,80,6.21,1978.1,25.2,32.6,Coconut
57.7,56.5,209,27.9,70,6.36,1730.8,27.3,50.5,Coconut
86,65.9,242.1,32,73.8,5.55,1705.8,28.9,48.8,Coconut
74.2,49.7,192.6,32,80,6.57,1634.7,26.4,59.5,Coconut
92.5,65.2,181,27,73,6.89,1500,24.9,66.5,Coconut
84.2,62.5,211.2,32,78.7,6.5,2321.5,30.3,50.4,Coconut
111.3,42.6,185.7,29.7,76.4,6.84,1576,30,53.6,Coconut
93.8,39.5,201.9,31.2,73.7,6.36,1812.1,32,54.9,Coconut
96.5,36.3,128.7,27,75.2,6.38,1704.1,28.1,57.4,Coconut
115.3,39,194.2,32,77.5,7.5,1820.4,29.4,50.9,Coconut
200,30.9,100.8,30.3,40.5,7.28,624.9,24.9,26.3,Cotton
120.1,52.4,33.2,29.5,59.7,6.87,643.1,27.4,36.6,Cotton
157.1,39.6,75.8,29.5,50.4,6.37,747.5,27.1,38.7,Cotton
102.8,41.5,92,32,52.8,6.24,688.3,24.9,18.2,Cotton
137.1,36.6,67.3,27,36.8,6.43,696.5,30.9,24.4,Cotton
200,53.7,52.4,27,68.9,6.39,547.9,26.2,37.3,Cotton
139.3,25.6,66.5,31.1,54.5,6.91,503.3,22.9,14.1,Cotton
148.5,22.8,97.1,27,39.4,6.58,406,23.7,32.7,Cotton
176.2,47.4,71.9,32,34.2,6.92,615.2,22.6,17.4,Cotton
158.4,42.8,79.4,27,58.6,6.66,744.6,23.5,55.7,Cotton
195.3,28.3,106,31.6,33.2,6.81,531.9,31.5,27,Cotton
176.8,51.3,52.3,32,64,6.03,487.7,31.6,30.2,Cotton
141.3,24.2,88.4,27,44,6.44,690.4,30.6,24.8,Cotton
164.3,46.5,75,28,50.4,6.82,645.8,31.7,26.4,Cotton
176,32,93.9,30.9,44.6,7.29,604.1,29.3,10,Cotton
117.7,40,73.5,32,55.2,7.33,460.5,26.9,37,Cotton
178.9,30.7,72.5,32,52.1,6.63,653.5,32,45.5,Cotton
140.8,35.5,63.7,27,40.6,6.95,715,32,33.5,Cotton
142.3,46.4,107.4,31.8,48.5,7.04,490.7,30.6,18.9,Cotton
109.8,18.8,97.9,30.5,62.1,6.5,672.3,27.1,33.9,Cotton
175.3,41.3,80.1,27,54.1,8,667.5,27.8,26,Cotton
169.4,54.1,88,27,40.5,6.95,584,20,38.7,Cotton
147.5,49.6,65.9,30.4,44.7,7.28,637.4,29.4,44.1,Cotton
80,17.7,89.2,29.1,39.1,7.74,509.3,29.7,34.4,Cotton
153.1,55.9,85.9,30.8,34.1,7.44,518.6,27.7,27.3,Cotton
168.1,29.7,88.4,30.6,42.6,6.04,626.8,24.5,26.5,Cotton
129,60,84.2,29.3,39.2,7.65,698.1,29.5,40.5,Cotton
97.4,36.2,68.4,32,65.8,7.56,566.8,27.8,15.7,Cotton
191.1,28.6,103.3,32,61.9,7.04,688.1,28.1,20.5,Cotton
151.4,38.5,66.3,27,45.5,7.23,417,27.3,32.8,Cotton
111.7,40.8,84.6,31.6,49.8,7.73,722.1,26.1,46.6,Cotton
113.6,29.4,62.1,29.7,42.8,7.04,400,30.8,27.3,Cotton
169.6,20,72.3,32,37.3,6.7,472.2,20.6,51.1,Cotton
124.6,42.4,84.8,32,51.7,7.26,590,28.4,29,Cotton
108.3,55.9,70.7,32,70,7.35,434.1,27.9,29.3,Cotton
145.3,49.7,103.7,32,54.7,6.54,524.9,26.1,21.7,Cotton
109.8,33.1,88.6,30.9,38.2,7.36,537.4,23.9,31.2,Cotton
136.3,58.3,72.8,31.8,56.3,5.87,468.1,21.9,42.4,Cotton
173.3,37.5,56.3,31.4,57.2,6.92,599,28.1,22.7,Cotton
127.4,32.6,58.4,28.6,51.5,6.77,400,25.7,41.1,Cotton
166.7,20.8,88.1,32,70,7.12,587.9,23.8,36,Cotton
168.6,32.6,68.4,29.2,39.9,6.9,693.3,29.1,41.6,Cotton
133.9,28.4,66.9,32,47.2,7.24,568.3,20,23.7,Cotton
170.3,32.2,75.1,27,43.2,7.03,543.2,28.5,35.2,Cotton
198.6,39.5,79.3,32,46.9,7.2,761.6,29.8,39.1,Cotton
87.2,25.1,76.1,32,58.2,7.74,588.8,28.5,45.7,Cotton
147.4,28,58,31.9,67.8,7.34,576.5,28.2,23.1,Cotton
200,34.8,111.3,29.9,68.5,6.68,605.5,27.2,15.6,Cotton
128.3,35,73.8,32,58,6.99,628.8,26.1,16,Cotton
144.4,40.3,70.2,27.8,38.3,6.56,547.8,25.6,42.1,Cotton
153.1,38.7,85.4,32,41.1,7.15,406,22.1,18,Cotton
97.1,33,80.9,28.3,52.8,8,1000,28.6,29.8,Cotton
174.1,32.5,71,28.5,70,6.21,631.7,32,37.1,Cotton
126.8,30.1,146.1,31.4,55.7,7.47,732.7,25.1,36.8,Cotton
172.1,31.6,90.6,27,43.5,6.79,628.2,28.8,29.1,Cotton
151.4,49.2,47.6,30.3,54.6,7.01,896,29.5,23.8,Cotton
154.5,30.9,54.4,27,50.8,6.68,667.1,29.8,19.7,Cotton
168.2,32.6,72.4,29.5,55,7.19,554,27.2,10,Cotton
160.7,55,93,28.7,44.6,7.43,432.9,31,36.4,Cotton
169.9,24.7,92.5,31,47.3,7.71,717.9,30.8,46.5,Cotton
199.3,21.8,66.5,29.2,53.6,7.23,557.7,25.2,24.2,Cotton
109.7,42.1,65.4,27.4,55.6,6.76,594.6,28.5,21.8,Cotton
169.5,32.9,66.2,32,61,6.65,593.1,20.7,34.8,Cotton
140.5,52.2,57,31.2,44.7,7.09,588.9,24.2,24.8,Cotton
135.7,24.4,86.5,27,47.4,6.42,483.8,31.6,27.8,Cotton
181.6,50.2,75.6,30.2,44.9,7.72,722.3,29.7,34.4,Cotton
80,36,77.1,31.7,38.7,6.9,546.6,26.7,10,Cotton
200,29,111.3,27,43.4,6.91,640.5,21.3,28.6,Cotton
151.3,34.5,64.4,31.9,47.5,7.17,663.8,32,40.5,Cotton
156.9,58.2,100.9,32,44.1,7.65,427.7,27.4,42.1,Cotton
136.9,54.2,92.8,32,54.2,7.11,620.2,25.6,22.9,Cotton
183.6,54.9,95.7,31.9,56.4,6.48,671.1,28.2,43.5,Cotton
168.4,60,83.9,32,70,6.62,547.9,25.9,24.6,Cotton
135.1,23.5,68.7,27.2,35.3,6.81,456,28.8,33.3,Cotton
135.7,37.6,79.9,27,53.4,6.64,502.8,28.8,35,Cotton
160.4,41.1,95,32,47.3,6.3,682.5,24.3,27.8,Cotton
178.5,42.9,64,30.5,44.4,6.81,595.3,26.7,33.3,Cotton
161.2,37.9,80.4,29.4,59.5,6.96,547.5,27.2,41.8,Cotton
192,45.9,72.8,30.4,37.4,7.16,543.8,23,49.1,Cotton
118.6,34.4,107.5,29.6,64.9,7.42,543.9,23.1,33.5,Cotton
192.6,50.4,30,29.1,52.9,6.19,629.3,28.5,12.6,Cotton
125.7,26.5,86,29.5,66.2,6.55,914.9,28.3,32.2,Cotton
161.3,21.5,34.3,30.2,53.6,6.71,565.1,29.8,14.3,Cotton
167.6,58,62.9,32,57.9,8,423.3,30.8,31.8,Cotton
150.7,38.1,89.1,32,39.4,6.64,637.5,27.1,37.9,Cotton
156.5,52.4,74.1,28.6,38.8,8,615.5,26.1,10,Cotton
132.7,35.3,51.8,27.6,36.2,5.5,583.8,28.7,36.6,Cotton
150.7,18.5,108.6,30.9,43.9,7.78,564,25.8,37.2,Cotton
161.4,40.9,75.7,31.3,46,7.73,679.8,26.2,30.4,Cotton
163,38.4,85.4,27,48,6.99,400,27.8,28.4,Cotton
148,44,79,31.2,54.1,6.26,823.9,26.2,37.4,Cotton
182.6,26.7,90.9,29.4,55.1,5.93,602.6,29.7,31.2,Cotton
96.3,56.4,111.9,31,53.3,6.94,809.6,27.2,34.2,Cotton
127.6,38.1,80.3,31.1,46.3,6.99,492.7,27.6,21.8,Cotton
183.2,48.9,87.1,32,63.3,6.83,687.3,29.3,37,Cotton
142.5,34.7,60.1,31.1,57.7,7.22,646.9,30.2,42.7,Cotton
125.9,30,97.4,31.6,50.1,6.49,477.3,26.1,33.6,Cotton
90.3,42.8,150,29.8,61.8,7.17,698.1,32,44.7,Cotton
168.6,58.8,102.7,32,41.6,6.96,654.7,32,18.1,Cotton
121.9,39.3,86.8,30.5,70,6.31,564.4,29.6,18.9,Cotton
177.8,32.2,50.3,31.3,38.1,5.63,595.2,32,27.1,Cotton
138.4,37.3,107.7,31.3,54.9,8,599.1,30.2,47.3,Cotton
153.9,27.6,59.3,29.3,62.2,7.5,694.1,25.3,25.8,Cotton
163.2,35,49.8,31.6,38,6.69,549.4,28.4,25.5,Cotton
123,39.4,74.2,30.3,50.8,7.29,549.2,28.9,33.8,Cotton
153.2,30.1,60.8,27.5,59.6,6.14,722.7,31.8,31.4,Cotton
157.9,60,60.7,32,51.7,7.74,466.2,26.7,17,Cotton
84.6,46,93.2,30.8,53.3,6.91,611.2,27.7,35.7,Cotton
168.6,46.2,47.5,27,56.5,6.23,581.2,26.2,39.2,Cotton
165.3,40.8,62.3,30.4,45.1,6.69,794.4,24.8,26.2,Cotton
134.8,29.9,107.8,27.7,43.2,6.84,720.4,31.5,19.7,Cotton
200,42.7,63.2,32,30,7.41,555.9,24,19.5,Cotton
155,30.2,74.6,32,49.4,6.76,572.1,29.2,30.8,Cotton
171.8,43.4,87.7,27,57.4,6.95,653,27.8,32.4,Cotton
166.9,30.9,62,31.4,42.1,6.8,642.6,20,36.6,Cotton
167.4,13.9,101.2,30.8,48,7.29,556.2,30.2,40.4,Cotton
170.2,60,119.5,32,54.3,6.88,523,25.8,32.8,Cotton
164.2,43.7,62.2,32,54.9,7.36,459.6,31.8,33.5,Cotton
134.8,37.3,69.3,27,52.1,7.88,558.1,30.6,29,Cotton
122.2,38.2,90.9,32,51.4,6.57,489.3,30.5,32.7,Cotton
149.4,60,87.6,29.7,59,6.48,513,25.6,26.6,Cotton
135.2,25.7,41.1,27,43.8,7.09,574,26.4,23.9,Cotton
123.7,23.7,48.2,27,57.6,7.29,757.6,30,41.7,Cotton
156.3,48.3,74.5,31.5,39.9,6.46,485.1,27.4,24.7,Cotton
174.1,54.9,95.7,28,40.3,6.82,530.3,31.4,57.1,Cotton
158.7,39.7,86.4,27,53.6,7.1,577.3,26.7,31.8,Cotton
167.8,29.7,94.5,31.7,48.8,8,598.1,29,36.4,Cotton
120.7,27.5,31.3,27.2,70,7.26,631,27.2,47.2,Cotton
161.6,29.3,100.7,29.5,43.4,6.97,434.8,28.1,18.2,Cotton
159.8,42,99.3,29.6,41.5,6.09,561.1,31,27.3,Cotton
200,41.7,53.7,27,68.4,7.09,697.1,30.2,13.9,Cotton
176.6,29.4,76.1,31.7,49.9,7.39,635.2,27.5,31,Cotton
175.4,22,42.2,32,47.5,7.59,552,27.2,42.9,Cotton
181.7,39.7,103,31.7,50.9,7.07,554.8,31.4,16.1,Cotton
200,32.6,72.2,27.5,39.9,7.35,679.2,31.1,44.3,Cotton
128.4,52.7,66,30.5,36.9,6.57,712.4,28.2,47.7,Cotton
168.5,15.7,78.1,32,45.9,7.03,462,28,25.3,Cotton
144.1,25.4,60.1,28.8,67.1,6.83,569.8,32,18.8,Cotton
169.8,28.3,67.7,32,52.9,8,527.7,30.9,30,Cotton
160,45.3,62.5,29.6,33.1,6.69,512.1,23.1,55.6,Cotton
147.2,45.4,73.5,32,44.3,6.92,582.9,27.4,44.5,Cotton
158.1,42.5,72.2,30.8,55.7,6.63,567.2,24,25,Cotton
139.4,41.8,69.5,28,51.9,8,503.2,29.6,22.1,Cotton
163.1,37.6,105.3,29.6,50,6.41,586.3,26.6,19.5,Cotton
126,25.2,50.6,32,52.3,6.46,526.7,31.8,29.5,Cotton
191.1,30,97.6,27,57.9,6.66,619.4,25.8,16.3,Cotton
154.4,42.9,82.6,28.9,48.2,6.91,541.4,28.2,37.9,Cotton
106,19.7,66.6,32,30,6.75,649.1,31.1,28.9,Cotton
168.5,25.6,67.3,32,59.9,6.73,485.6,28.8,40.2,Cotton
200,41,84.1,32,52.4,7.05,494.4,24.1,16.7,Cotton
110.8,47.4,79.4,32,47.7,7.56,579.8,25.9,14.1,Cotton
133.7,19.7,81.7,30.4,57.5,7.22,724.1,30.8,28,Cotton
174.7,52.6,97,27.6,33.4,6.27,586.3,23.7,49.4,Cotton
143.8,53.5,81.2,31.7,41.7,7.23,543.7,20,35.2,Cotton
133.8,48.2,88.6,27.1,53.5,6.96,801.2,25.5,30,Cotton
108,20.7,91.3,27,41.5,6.76,537.7,32,10,Cotton
133.1,54.9,86.7,31.8,39.2,8,678.1,28.5,20.6,Cotton
148.4,48.6,88.8,28.3,50.4,7.56,563,32,25.2,Cotton
157.1,37.6,108.7,32,51.6,6.93,461.3,28,30.1,Cotton
80,44.6,73.5,32,51.3,7.63,683.5,26,41.4,Cotton
144.6,47.8,78.8,27,52.5,7.81,511.8,24.8,28.9,Cotton
158.9,42.6,32.4,32,60.7,6.16,666.7,24.1,14.5,Cotton
163.2,29.7,55.5,31.2,60.1,6.36,576.2,28.9,17,Cotton
144.6,34,82.4,31.1,48.7,6.32,466,27.5,51,Cotton
148.7,59.1,89.3,32,38.1,7.4,524.5,29.8,39,Cotton
160.3,45.8,115.8,28.3,52.3,8,590,27.2,28.6,Cotton
117.2,34,89.3,27.1,45.8,7.68,652.1,27.6,31.2,Cotton
169.4,38.9,77.5,31.7,62.3,7.98,496.2,24.7,24.7,Cotton
151.3,34.2,92.4,31.3,30,8,567.3,29.6,37.1,Cotton
180.7,54.6,50.2,30.6,45.1,7.53,609.2,25.2,50.6,Cotton
165,54,74,28.6,59,7.49,662.7,32,31.5,Cotton
151.1,36.4,75,32,60.5,6.83,439.4,27.5,43,Cotton
115.1,31.9,45.3,31.5,53.7,6.42,400,24.7,37.1,Cotton
141.5,51.6,70.6,28.6,38.3,7.15,721.8,22.7,36.4,Cotton
174.8,36.3,87.5,32,60,6.85,808.1,27.3,23.7,Cotton
104.5,42.2,71.4,27,46.6,7.31,400,29.7,27.9,Cotton
127.6,32.8,76.1,28,53.3,6.61,537.5,27.4,29.7,Cotton
145,34.3,65,27,44,6.46,604.8,27,28.3,Cotton
138.2,60,63.1,32,60.1,7.44,541.8,20.9,26.5,Cotton
138.2,46.6,64,32,39.2,8,603.8,30.4,38.3,Cotton
130.3,42.4,97.2,32,53.4,7.12,562.3,30.4,17.4,Cotton
200,46.3,53,27.1,41.3,7.38,604.5,31.7,41.7,Cotton
153.6,36.8,82.6,32,53.2,6.88,743.5,22.6,44.9,Cotton
164.4,35.4,66.8,29.4,62.4,7.56,750.1,29.4,35.9,Cotton
139.7,49.8,65.8,32,30,6.87,598.6,29.5,33.4,Cotton
200,32.1,64.9,27.2,44.1,7.29,603.6,28.1,36.1,Cotton
163.5,44.3,76,30.5,39.7,6.39,682.6,31.8,23.6,Cotton
146.3,36.2,90.1,29.5,44,7.01,466.3,24.6,40.3,Cotton
184.4,42.8,71.3,31,56,5.94,527.1,24.6,31.4,Cotton
134,29.5,57.3,31.2,42.5,6.87,585.9,30.4,34.4,Cotton
148.2,40.1,76.1,27.5,45.7,6.48,557.8,26.1,22.2,Cotton
189.7,57,64,31.2,39.1,7.94,760.4,27.8,26.1,Cotton
171,39.9,55.3,31.8,55.9,6.92,503.2,30.1,32.9,Cotton
119.8,55,111.3,31.3,36.5,6.4,506,26.8,30.4,Cotton
114.3,36.1,126.4,28.5,34,7.5,552,25.9,27.2,Cotton
193.2,50.5,71.5,32,62.1,6.71,553.5,31.7,35,Cotton
180.8,34.7,93.1,29.6,37.1,6.51,607.7,29,55.8,Cotton
171.1,49.9,30,32,49.9,6.51,518.5,25.8,36.3,Cotton
147.8,42,87.9,30.4,59.1,6.02,474.5,30.6,33.1,Cotton
139.1,52.3,123.7,32,54,7.1,603.4,32,37.6,Cotton
152.7,40.6,65.9,29.1,60.1,7.72,586.1,32,34.7,Cotton
163.4,41.9,99.2,31.6,48.2,6.25,518.7,29,21.4,Cotton
155.2,35.7,85.8,27,31.1,6.6,521.7,25.6,20,Cotton
190.3,40.7,123.1,29.2,70,6.54,510.1,25.5,17.2,Cotton
148.2,27.9,91.2,27,44.5,7.11,515.5,31.5,29.8,Cotton
143.8,59.4,82.7,31.7,30,6.85,760.7,32,35.7,Cotton
129.6,36.7,74,30.4,38.4,7.32,488.1,29.1,31.1,Cotton
112.3,49.6,98.8,30,36.8,7.17,881.5,24.9,23.7,Cotton
141.8,35.4,77,28.9,64.4,6.65,430,30.8,46.1,Cotton
153.2,31.9,150,32,43.6,8,643.9,26.1,13.6,Cotton
136.7,44.2,63.8,30.9,48.7,7.14,598.2,28.3,42.4,Cotton
159.9,40.8,84.7,32,38.4,7.46,641.8,28.1,38.2,Cotton
127.1,21.1,63.3,32,66.4,6.19,598.5,27.7,27.3,Cotton
134.9,41.8,75.3,30.7,55.7,6.92,494.7,31.4,24.3,Cotton
168.7,37.7,63.5,32,48.6,5.93,581.5,29.6,24.1,Cotton
123.6,41.2,100.8,30.8,51.1,6.75,621.9,30.7,20.1,Cotton
192.9,60,37.6,27.2,38.9,6.74,620.1,26.9,29.1,Cotton
170.4,37.1,58,30.8,47.5,6.89,513.1,30.6,44.6,Cotton
130.5,60,82.9,32,64.6,7.44,566.4,22.7,26.5,Cotton
168.7,27.3,110.8,32,59.7,7.99,622.4,31.4,32.5,Cotton
152.2,43.7,66.7,32,65.2,7.1,509.5,29.3,13.7,Cotton
169.6,51,66.3,32,57,6.69,500.6,29.8,18,Cotton
145.5,46.2,70.7,27.5,55.4,7.48,627.9,27.9,35.2,Cotton
